"subject","country","rel_1","rel_2","rel_3","rel_4","rel_5","rel_6","rel_7","rel_8","rel_9","cnorm_1","cnorm_2","wb_gen_1","wb_gen_2","wb_phys_1","wb_phys_2","wb_phys_3","wb_phys_4","wb_phys_5","wb_phys_6","wb_phys_7","wb_psych_1","wb_psych_2","wb_psych_3","wb_psych_4","wb_psych_5","wb_psych_6","wb_soc_1","wb_soc_2","wb_soc_3","wb_overall_mean","wb_phys_mean","wb_psych_mean","wb_soc_mean","age","gender","ses","education","ethnicity","denomination","gdp","gdp_scaled","sample_type","compensation","attention_check","majority"
"9413","Italy","0.833333333333333","0.714285714285714","0","0","0.166666666666667","1","0","0.25","0","0","0.5","4","2","5","3","4","5","5","4","5","4","4","4","4","4","3","4","5","4","3.66666666666667","3.57142857142857","4","3.66666666666667","22","man","7","5","Caucasian/European",NA,"64581.9440183954","-1.44107284929397","students","monetary reward","1","1"
"8733","France","0.5","0","0","0","0.833333333333333","1","0.5","0","1","0.5","1","5","4","1","2","4","5","4","4","4","3","4","4","4","4","4","4","3","2","2.27777777777778","1.85714285714286","3.83333333333333","2.66666666666667","20","man","3","3","Caucasian/European",NA,"2015.59048548675","1.97326652406719","students","raffle","1","1"
"1941","Spain","0","0.428571428571429","0","0","0","0.5","0.5","0","0.25","0","0","2","4","3","4","4","5","4","5","3","4","4","3","2","5","2","5","5","5","3.94444444444444","3","1.16666666666667","3.5","29","man","6","4","Caucasian/European","Christian (Roman Catholic)","42491.3644350973","-0.915551454303884","mixed","raffle","1","1"
"1560","Israel","0.166666666666667","0","0","0","0.333333333333333","0.5","0.5","0","0.25","0.25","0.5","4","2","5","4","3","5","2","3","5","5","5","3","3","5","4","4","3","4","4.11111111111111","4","4.16666666666667","3","45","woman","7","4","Chinese",NA,"9770.84708783314","-0.915551454303884","online panel","raffle","1","1"
"1537","Belgium","0","0.285714285714286","0","1","0.833333333333333","0.833333333333333","0.166666666666667","0.25","0.75","0","0.5","5","3","4","4","3","5","4","1","5","3","2","2","5","3","2","2","3","4","3.55555555555556","4.28571428571429","3.5","4.66666666666667","61","man","5","7","Caucasian/European",NA,"14869.0906823045","-1.14590037797124","students","monetary reward","1","1"
"4406","Spain","0","0","0","1","0","0","0.333333333333333","0.25","0","0.5","0.5","5","3","4","4","4","3","2","4","4","4","3","5","4","4","5","4","3","4","4","3","4","3.33333333333333","47","woman","8","6","Caucasian/European","Evangelical","78806.431996268","0.590206515018923","mixed","raffle","1","1"
"9626","US","0","0","0","1","1","0.666666666666667","0.666666666666667","0","1","0.25","1","3","4","3","5","3","5","1","5","4","5","3","5","3","1","4","5","4","2","3.94444444444444","2.85714285714286","3.5","3.66666666666667","25","man","7","5","I would rather not say","Buddhist","8920.76210462979","0.590206515018923","mixed","monetary reward","1","1"
"10092","Morocco","0.5","0","1","1","0.833333333333333","0","0.666666666666667","0.25","0","0.25","0","4","4","3","1","3","1","2","4","4","4","5","5","4","4","1","2","4","1","4.61111111111111","3.71428571428571","3.16666666666667","1.66666666666667","25","man","6","4","Caucasian/European",NA,"64581.9440183954","0.332478560405665","online panel","monetary reward","1","1"
"9621","China","0.833333333333333","0","1","1","0.333333333333333","1","0.833333333333333","0.5","0","0.75","0.25","4","2","5","5","4","5","2","3","5","4","4","3","3","3","3","4","4","3","3.72222222222222","4.28571428571429","3.5","4.33333333333333","34","man","5","3","Turkish",NA,"48195.5799044116","-1.18430893128537","mixed","monetary reward","1","1"
"7102","India","0","0.428571428571429","0","1","0.333333333333333","1","0","0","0.5","0.25","0.25","4","3","3","5","4","3","3","2","2","3","4","4","4","4","4","3","4","4","3.44444444444444","3.71428571428571","4.66666666666667","4.66666666666667","41","woman","4","5","Caucasian/European","Christian (Roman Catholic)","15923.3590619893","0.187687061666867","mixed","raffle","1","1"
"7820","Denmark","0.833333333333333","0","0","1","0.333333333333333","0.333333333333333","0.166666666666667","0","0.75","1","0.25","3","4","5","2","4","4","2","4","2","2","3","1","2","2","4","4","3","2","3.55555555555556","5","3.33333333333333","4","22","woman","5","3","Caucasian/European",NA,"46210.5476227883","1.00180198970142","mixed","raffle","4","1"
"1566","Lithuania","0","0.571428571428571","0","0","0.5","0.833333333333333","0","0","0.25","0.5","0","4","4","4","5","3","4","2","3","4","4","2","2","2","4","3","4","4","5","3.88235294117647","4.85714285714286","3.16666666666667","3.66666666666667","33","man","6","3","Chinese",NA,"9311.36611728167","-1.1666606545353","online panel","raffle","1","1"
"438","China","0.5","0","0","1","0.833333333333333","1","0.666666666666667","0","0","0","0.25","5","3","5","5","4","5","2","2","3","3","2","3","3","4","4","5","4","3","4","2.85714285714286","3.83333333333333","4.66666666666667","26","woman","10","6","Middle-Eastern/Arab","Christian (Roman Catholic)","78806.431996268","1.33057548063109","online panel","monetary reward","1","0"
"9191","Japan","0","1","0","1","0.5","1","0","0","0.75","0.5","1","4","3","5","4","2","4","4","5","5","4","1","3","4","4","3","3","3","4","2.77777777777778","2","4","3.33333333333333","30","man","4","5",NA,NA,"46556.0995671478","0.590206515018923","mixed","monetary reward","1","0"
"9635","Turkey","0.5","0","0","1","0.166666666666667","0","0","0","0","0.25","0.5","5","2","4","4","5","4","4","2","4","5","3","5","4","4","3","4","5","5","4.05555555555556","4","4","4.66666666666667","66","man","6","6","Caucasian/European","Christian (Protestant)","53024.0592130531","-1.14590037797124","students","monetary reward","1","1"
"6568","India","1","0.571428571428571","1","1","0.666666666666667","0.666666666666667","1","1","1","0","0.5","4","3","4","3","5","4","4","4","4","5","3","2","2","4","2","2","5","2","4","3","3.5","4.33333333333333","20","man","7","7","Latin-American",NA,"9770.84708783314","0.590206515018923","mixed","monetary reward","1","1"
"2132","Morocco","0","0","1","0","1","1","0","1","0","0.25","0.25","4","2","4","5","4","5","4","3","3","4","4","3","3","3","4","3","5","3","3.55555555555556","3.71428571428571","3.16666666666667","2","33","man","9","5","Caucasian/European",NA,"41613.9980821757","0.28604408028733","online panel","raffle","1","1"
"4775","Germany","0","0.142857142857143","0","0","0","1","0","0","0","0.5","0.75","4","3","3","4","3","5","3","4","2","4","5","3","4","3","3","2","3","4","4.27777777777778","2.85714285714286","3.83333333333333","3.33333333333333","27","woman","10","7","Caucasian/European",NA,"42491.3644350973","1.97326652406719","online panel","monetary reward","1","1"
"10230","Morocco","0","0.714285714285714","0","0","0.833333333333333","0","0","0.25","0","0.5","0.5","4","5","1","2","5","2","1","5","5","3","2","4","3","3","4","5","3","5","3.83333333333333","4.28571428571429","3.5","3.33333333333333","22","woman","4","2","Caucasian/European","Hindu","57305.2990162045","1.97326652406719","students","monetary reward","1","1"
"8819","India","0","0","1","1","0.5","0.5","1","0.25","1","0","0.75","4","2","5","5","2","2","4","3","4","4","2","3","3","3","4","4","4","2","4.27777777777778","3.57142857142857","2.66666666666667","3.66666666666667","23","woman","4","6","Caucasian/European",NA,"2015.59048548675","0.590206515018923","mixed","raffle","1","1"
"6594","Japan","0","0","0","0","0","0","0.166666666666667","1","0.25","0","1","4","4","2","5","5","5","3","4","5","3","4","5","4","5","4","2","3","3","3.17647058823529","2.85714285714286","4","4.66666666666667","29","woman","5","4","Caucasian/European",NA,"9311.36611728167","0.51613148818575","students","monetary reward","1","1"
"2861","Denmark","0.166666666666667","0.571428571428571","0","1","0.833333333333333","1","0.166666666666667","0.25","1","0.25","1","5","5","4","2","4","5","3","4","5","3","5","2","3","3","4","5","5","5","2.77777777777778","3.57142857142857","4.5","3","72","woman","7","5","Caucasian/European",NA,"64581.9440183954","0.187687061666867","online panel","monetary reward","1","1"
"4149","Morocco","0","1","0","1","0","0","0","0","0.5","0","0.5","3","4","5","5","5","5","3","4","3","4","4","3","4","3","4","4","2","3","3.55555555555556","4.28571428571429","3.5","2.33333333333333","18","woman","5","5","Caucasian/European",NA,"48195.5799044116","-0.867917483502592","mixed","course credit","1","1"
"7012","Israel","0.166666666666667","0","0","0","0.5","0.166666666666667","0.166666666666667","0.75","0.25","0.25","0.5","3","4","4","4","4","5","4","3","3","3","4","3","5","2","1","3","3","4","3.94444444444444","2.85714285714286","3.66666666666667","3.66666666666667","24","man","8","4","Caucasian/European","Christian (Roman Catholic)","30523.8592390474","-1.44107284929397","online panel","monetary reward","1","1"
"6269","US","0","0","0","0","0.666666666666667","0","1","0","0","0.75","0.5","4","3","4","5","4","5","3","3","3","3","5","5","4","4","4","4","4","4","4.41176470588235","3.28571428571429","4","4","20","woman","6","3","Caucasian/European",NA,"62641.0145699281","0.332478560405665","students","raffle","1","1"
"5871","Canada","0","0","1","0","0.833333333333333","0","0.5","0","0","0.25","0.75","5","4","2","1","5","5","4","4","3","3","1","3","3","4","3","4","4",NA,"3.22222222222222","4.57142857142857","2.83333333333333","3.66666666666667","31","woman","6","5","Caucasian/European","Christian (Orthodox - Russian/Greek/etc.)","46210.5476227883","-1.14590037797124","online panel","monetary reward","1","0"
"2600","Brazil","1","0.714285714285714","0","1","0.833333333333333","1","0.833333333333333","0","1","0","0.25","4","5","2","5","4","5","4","4","2","3","2","3","1","1","3","4","4","4","3.38888888888889","2.42857142857143","2.16666666666667","4.33333333333333","56","woman","7","5","Caucasian/European",NA,"3237.88336815666","-0.208237450865951","mixed","monetary reward","1","0"
"3713","Germany","0","0.142857142857143","0","1","0.833333333333333","0","0.166666666666667","0","0.5","0.25","0.5","2","3","2","5","4","5","4","4","1","4","4","3","4","2","3","3","4","4","3.5","4.57142857142857","3.83333333333333","4.33333333333333","63","woman","8","6","Mixed / other","Christian (Roman Catholic)","41613.9980821757","0.808366944407156","mixed","monetary reward","1","1"
"8192","China","0.166666666666667","1","0","1","0.333333333333333","0","1","0.25","0","0.25","0.75","4","4","4","5","3","4","5","4","4","3","4","3","4","4","4","5","5","1","3.11111111111111","3.42857142857143","4","1.66666666666667","34","woman","7","4","Indian",NA,"14869.0906823045","1.97326652406719","mixed","monetary reward","1","1"
"3977","UK","0.833333333333333","0.142857142857143","0","0","0.833333333333333","0.166666666666667","0.166666666666667","0.5","0","0.75","0.25","2","3","5","5","3","1","4","5","4","5","5","4","4","4","3","4","2","5","3.22222222222222","5","4.33333333333333","4","52","woman","5","4","Caucasian/European",NA,"12301.1864034302","0.51613148818575","online panel","raffle","1","1"
"3494","Germany","0.5","1","0","1","1","0","0.833333333333333","0.5","1","0.25","0","5","4","4","5","3","5","3","4","4","3","1","3","4","3","3","4","5","5","2.88888888888889","4.57142857142857","4","4","24","woman","9","5","Caucasian/European",NA,"42491.3644350973","-1.49629850587786","online panel","monetary reward","1","0"
"6142","Netherlands","0","0.571428571428571","0","0","0.5","0","0.5","0.5","0","0.25","0.5","5","5","5","3","5","4","4","4","4","3","1","2","4","4","1","2","4","3","2.55555555555556","2.57142857142857","3.66666666666667","4.33333333333333","22","man","6","6",NA,"Christian (Roman Catholic)","57305.2990162045","-0.208237450865951","mixed","monetary reward","1","1"
"4519","US","0","1","0","1","1","0.666666666666667","0.166666666666667","0","0.5","1","0.75","3","4","4","5","2","5","2","4","2","3","2","3","5","2","2","5","2","3","3.5","4","3.83333333333333","4.5","24","woman","8","7","Malay",NA,"19089.7075056564","0.51613148818575","students","monetary reward","1","1"
"6452","Israel","0","0.285714285714286","0","0","0.666666666666667","1","0","0.25","0","0.25","0.75","4","4","5","2","3","4","3","4","4","4","5","3","2","5","2","4","4","2","3.17647058823529","4.14285714285714","3.5","1.66666666666667","23","man","7","4","Caucasian/European",NA,"30523.8592390474","0.590206515018923","online panel","monetary reward","1","1"
"3171","US","0.833333333333333","0.142857142857143","0","0","0.333333333333333","0.166666666666667","1","0","0","0.5","0","5","3","4","2","4","5","3","5","2","4","3","4","2","2","3","5","4",NA,"3.61111111111111","3.71428571428571","4.33333333333333","3.33333333333333","22","woman","5","3","African","Christian (Roman Catholic)","41613.9980821757","1.24288037523174","online panel","raffle","1","1"
"879","Germany","0","0","0","0","0.5","0.166666666666667","0.5","0","0","0.5","0.5","3","4","5","5","4","5","4","4","3","5","3","4","4","3","4","3","5","3","4.88888888888889","4.14285714285714","4","3.5","23","woman","7","2","South Asian","Christian (Roman Catholic)","46556.0995671478","0.332478560405665","students","monetary reward","1","1"
"7022","Spain","0","1","0","1","0.5","0.5","0.666666666666667","0","0","0","0","5","4","3","3","3","5","1","2","5","2","3","4","5","3","4","3","2","4","3.38888888888889","3.14285714285714","3.83333333333333","4.33333333333333","22","man","8","7","Caucasian/European",NA,"42491.3644350973","-0.915551454303884","online panel","raffle","1","0"
"2464","Australia","0","0","0","1","1","0.5","0","0","0.75","0.75","0.25","4","5","5","4","5","5","4","5","3","5","3","3","4","1","3","4","3","5","4.38888888888889","4.14285714285714","2.5","4","23","woman","6","7","Caucasian/European",NA,"78806.431996268","1.00180198970142","mixed","raffle","1","1"
"10321","UK","0.166666666666667","0","1","0","0","0.166666666666667","0.833333333333333","0","0.75","0","0.5","4","4","4","4","4","4","2","4","4","2","4","3","2","2","4","4","5",NA,"4.33333333333333","2.42857142857143","4.16666666666667","4","40","man","6","4","Caucasian/European",NA,"8920.76210462979","-1.18430893128537","online panel","monetary reward","1","1"
"457","Denmark","0","0.285714285714286","0","1","0.666666666666667","0.166666666666667","0.333333333333333","0.25","0.25","0","0.5","4","1","4","4","4","5","4","4","4","2","4","3","5","4","2","3","4","4","3.77777777777778","2.42857142857143","1.66666666666667","3.66666666666667","29","woman","7","4","Caucasian/European",NA,"60726.4665351509","-1.03157454652352","online panel","monetary reward","1","1"
"2089","Italy","0","1","0","0","0","0.166666666666667","0.333333333333333","0.25","0.25","0.25","0.25","5","3","5","3","4","3","3","4","4","4","1","2","4","4","2","5","4","4","4.33333333333333","4.57142857142857","2.83333333333333","2","21","woman","3","3","Caucasian/European",NA,"53024.0592130531","1.24288037523174","online panel","monetary reward","1","1"
"6255","Ireland","0","0.714285714285714","1","1","0","0.5","0.333333333333333","0","0.75","0","0.25","2","3","2","5","2","4","4","5","5","4","2","4","4","4","4","3","4","3","3.27777777777778","3.71428571428571","3.5","3.66666666666667","36","woman","7","5","Caucasian/European","Christian (Roman Catholic)","64581.9440183954","-1.1666606545353","mixed","monetary reward","1","1"
"9043","Australia","0.5","0.571428571428571","1","0","0.333333333333333","0.833333333333333","1","0.25","0","0.75","0","4","5","5","3","4","4","4","4","4","3","3","2","1","4","4","4","4","2","3.83333333333333","4.85714285714286","2.83333333333333","4","19","woman","4","5","Asian","Muslim (Sunni)","2015.59048548675","0.500518754706187","mixed","monetary reward","1","1"
"10438","Romania","0.833333333333333","1","0","1","0.833333333333333","0.833333333333333","1","0","0.75","0.5","0.25","5","3","4","3","4","4","2","4","4","5","4","4","4","3","3","4","4","3","3.38888888888889","3.42857142857143","3.33333333333333","4","42","man","6","3","Caucasian/European","Christian (Roman Catholic)","48195.5799044116","0.187687061666867","mixed","monetary reward","1","0"
"8989","Germany","0.166666666666667","0","0","0","0.666666666666667","1","1","0.25","0","0.25","0.75","4","4","4","5","4","3","2","4","4","3","2","3","2","5","2","5","3","2","4.05555555555556","3.85714285714286","4.33333333333333","2","19","man","6","6",NA,"Christian (Roman Catholic)","9311.36611728167","-1.49629850587786","online panel","raffle","1","1"
"7193","Croatia","0","0.285714285714286","0","1","1","0","0.833333333333333","0.5","0.25","0.5","1","4","4","2","4","1","5","4","4","3","4","2","4","3","5","4","5","5","4","4.5","4.14285714285714","4","1","23","man","6","4","Turkish",NA,"53024.0592130531","-1.14590037797124","general public","monetary reward","1","1"
"6026","China","1","0.857142857142857","0","1","0","0.333333333333333","0","0","0.5","0.25","1","4","4","4","5","5","5","4","5","4","4","4","1","4","3","4","4","5",NA,"3.41176470588235","4","4","3.33333333333333","24","man","7","1","Caucasian/European","Christian (Roman Catholic)","42491.3644350973","0.590206515018923","students","monetary reward","1","1"
"2108","Germany","0.5","0","0","0","0","0","0.5","0.5","0.5","0","0.75","4","4","5","5","3","4","2","5","3","4","3","3","4","2","4","4","4","2","3.11111111111111","3.57142857142857","4.33333333333333","3.33333333333333","25","man","5","6","Chinese","Hindu","48195.5799044116","1.33057548063109","general public","monetary reward","1","1"
"7111","US","0","0","1","1","0.5","0.666666666666667","0.666666666666667","0","0.25","0.25","0.5","5","4","5","5","5","4","3","3","4","4","1","4","5","4","3","3","4","1","4.22222222222222","3.42857142857143","3.33333333333333","4.33333333333333","23","woman","7","4","Caucasian/European",NA,"41463.6440227034","-0.0367946577928783","mixed","raffle","1",NA
"8273","Croatia","0.5","1","1","0","0.333333333333333","0.833333333333333","0.5","0","1","0.25","0.75","4","4","5","4","3","4","2","4","4","2","2","5","5","5","3","5","5","2","4.27777777777778","3.85714285714286","3.5","3.33333333333333","39","man","7","2","Caucasian/European","Christian (Roman Catholic)","46210.5476227883","-1.14590037797124","general public","monetary reward","1","1"
"178","Israel","0","1","1","0","0.666666666666667","0","0","0.75","0","0.25","0.5","4","2","5","4","4","5","4","2","3","3","2","4","3","3","2","4","3","5","3","4","4.33333333333333","3","34","woman","6","6","Caucasian/European",NA,"48195.5799044116","1.15637723528789","mixed","raffle","1","1"
"6788","Turkey","0.166666666666667","0","0","0","0","0","1","0","0","1","0.25","4","5","3","5","3","4","4","5","5","4","4","3","4","3","4","5","3","5","2.41176470588235","3.57142857142857","4.33333333333333","4","23","woman","7","7","Caucasian/European",NA,"41613.9980821757","0.51613148818575","online panel","no compensation + course credit","1","1"
"1173","Australia","0.166666666666667","0.857142857142857","0","1","0.5","0","0.333333333333333","0","0.5","0.5","0.5","5","2","5","5","4","5","3","5","5","2","3","5","4","4","3","4","3",NA,"3.38888888888889","4.28571428571429","3.16666666666667","3","58","woman","5","6","Chinese",NA,"15923.3590619893","0.590206515018923","mixed","raffle","1","1"
"1320","Netherlands","0.833333333333333","1","0","1","0.333333333333333","1","1","0.75","0.75","0.5","0","4","4","5","1","4","3","4","4","5","1","3","4","3","4","4","4","4","3","2.44444444444444","3.57142857142857","4.16666666666667","3.66666666666667","20","woman","7","2","I would rather not say","Christian (Roman Catholic)","9311.36611728167","0.187687061666867","mixed","monetary reward","1","1"
"2214","Singapore","0","0","0","0","0.166666666666667","0.333333333333333","0","0.5","0","0","0.5","4","3","4","5","2","3","3","2","3","5","1","4","4","5","3","3","4","3","4.70588235294118","3.14285714285714","3.83333333333333","5","31","man","7","7","Caucasian/European","Christian (Roman Catholic)","3237.88336815666","0.590206515018923","students","raffle","1","0"
"9399","Romania","0.666666666666667","0.714285714285714","0","0","0.666666666666667","0","1","0","0","0.25","0.25","5","4","3","4","3","5","4","3","4","4","4","4","3","4","5","5","5","3","4.66666666666667","4.28571428571429","4","4.33333333333333","20",NA,"8","4","Caucasian/European","Christian (Roman Catholic)","48195.5799044116","1.00180198970142","online panel","raffle","1","1"
"9597","Morocco","0.5","0.571428571428571","1","0","0","1","1","0.25","0.25","0.25","0","4","3","4","4","5","5","1","5","4","5","5","5","3","5","4","4","4","5","3.05882352941176","4.42857142857143","3","3.33333333333333","23","woman","4","3","Caucasian/European","Christian (Protestant)","34318.3511241724","-0.724855477453004","mixed","raffle","1","1"
"2976","Australia","0","0","0","0","0.5","0","1","0","0.5","0.25","0.25","5","4","3","5","5","4","2","5","4","2","2","2","5","4","4","2","5","5","4.27777777777778","4.57142857142857","3.83333333333333","4.66666666666667","22","man","2","4","Chinese",NA,"3237.88336815666","0.590206515018923","mixed","raffle","1","1"
"7212","Denmark","0","0","0","1","0.833333333333333","0","0","0","0.25","0.25","1","5","4","1","5","4","5","5","2","4","4","4","4","4","3","4","5","4",NA,"3.38888888888889","4.57142857142857","1.83333333333333","3.66666666666667","21","man","5","5","Caucasian/European","Christian (Roman Catholic)","9770.84708783314","-0.867917483502592","mixed","raffle","1","0"
"5258","India","0","0.142857142857143","0","0","0","0.666666666666667","0.5","0","0.5","0.25","0.5","4","3","4","5","5","5","3","4","4","4","4","3","1","3","4","4","5","1","2.66666666666667","4.71428571428571","3.83333333333333","4.33333333333333","22","woman","5","5","Caucasian/European","Christian (Roman Catholic)","41463.6440227034","1.33057548063109","students","raffle","1","1"
"8233","France","0.666666666666667","0.285714285714286","1","1","0.833333333333333","1","0.166666666666667","0","0.25","1","1","5","4","4","2","5","5","2","3","5","4","1","3","3","3","4","3","3","3","4.33333333333333","3.85714285714286","1.83333333333333","4","26","woman","7","3","Caucasian/European","Hindu","53024.0592130531","-0.915551454303884","mixed","raffle","1","1"
"6360","India","0.5","0.285714285714286","0","1","0.666666666666667","1","0","1","0","0.25","0.25","4","3","3","5","5","5","4","3","3","2","4","3","4","4","3","4","5","4","4.44444444444444","4","3.5","4.33333333333333","46","man","5","6","Middle-Eastern/Arab",NA,"34318.3511241724","-0.724855477453004","online panel","monetary reward","1","1"
"6365","Belgium","0.5","0","0","0","0.666666666666667","1","1","0","0.5","0","0","5","4","4","2","2","5","4","4","4","4","4","4","2","1","4","4","4","4","3.11111111111111","4.14285714285714","4","3.33333333333333","30","woman","5","5","Caucasian/European",NA,"34318.3511241724","0.500518754706187","mixed","no compensation + course credit","1","1"
"9758","Belgium","0","1","1","1","0.833333333333333","0","0.666666666666667","0","0.75","0","0.5","4","4","2","5","4","5","5","4","3","2","4","4","2","3","4","4","3","4","3.83333333333333","4.14285714285714","4.16666666666667","1.66666666666667","23","man","4","6","South Asian",NA,"57305.2990162045","-1.14590037797124","general public","raffle","1","1"
"10158","France","0","0.142857142857143","1","0","1","0.166666666666667","0.666666666666667","0.25","0","0.25","0.75","3","1","4","2","4","5","2","4","1","4","4","2","5","4","3","5","4","4","4","4.42857142857143","3","2.33333333333333","38","woman","6","3","Caucasian/European",NA,"14869.0906823045","-0.867917483502592","mixed","monetary reward","1","1"
"10299","Germany","0.5","0","0","1","1","0.166666666666667","1","0","0.5","0.25","0.5","4","4","3","5","4","5","4","4","5","4","4","3","4","4","5","5","2","2","3.55555555555556","4.42857142857143","2.33333333333333","4","33","woman","7","5","Caucasian/European","Christian (Roman Catholic)","60726.4665351509","-0.915551454303884","online panel","monetary reward","1","1"
"2772","Japan","0","0","1","1","0.166666666666667","0.833333333333333","1","0.5","1","0","0.25","2","2","5","5","4","5","3","4","5","4","4","4","3","3","4","3","4",NA,"3.88888888888889","3.28571428571429","3.83333333333333","4","41","woman","5","6","Caucasian/European",NA,"42491.3644350973","-0.208237450865951","online panel","course credit","1","1"
"2280","Lithuania","0","0","0","0","0","0.333333333333333","0.5","0","0.25","0.25","1","4","2","2","5","5","4","3","1","4","3","4","2","5","5","4","4","4","4","3.55555555555556","3.14285714285714","4.16666666666667","2.33333333333333","48","woman","3","5","Caucasian/European","Christian (Roman Catholic)","62641.0145699281","0.590206515018923","students","monetary reward","1","1"
"8521","Italy","0","1","0","0","0.5","0.333333333333333","0.666666666666667","1","0.75","0.5","0.5","4","4","5","3","4","5","5","4","5","3","4","5","4","2","4","1","4","4","4.16666666666667","4.14285714285714","4","3.66666666666667","36","woman","6","3","Caucasian/European",NA,"53024.0592130531","0.28604408028733","online panel","raffle","1","1"
"10124","China","0.666666666666667","0","0","0","1","0","0.166666666666667","0.75","0.75","0.25","0.75","4","5","5","5","4","4","4","3","4","4","4","3","4","4","2","4","5","5","4.11111111111111","4.42857142857143","4","2.33333333333333","26","man","6","3","African",NA,"48195.5799044116","0.590206515018923","online panel","monetary reward","1","1"
"2988","Canada","0","0","1","0","0.833333333333333","0","0","0.25","0.75","0.75","0.25","5","5","2","3","4","3","4","4","5","4","5","4","3","4","4","3","5","3","4.16666666666667","2.85714285714286","2.83333333333333","2.66666666666667","20","woman","6","5","Caucasian/European","Christian (Roman Catholic)","60726.4665351509","-1.03157454652352","students","course credit","1","1"
"2187","Spain","0.666666666666667","0","0","1","0.333333333333333","0.833333333333333","0.166666666666667","0","0.25","0.25","0.75","2","5","5","5","4","3","2","5","1","4","3","4","4","2","3","4","4",NA,"4","4","3.66666666666667","2.66666666666667","24","woman","8","5","Caucasian/European",NA,"2015.59048548675","0.332478560405665","online panel","course credit","1","1"
